Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,1417857.519794464,0.13857192006927788,0.09105593884795016,1.2557564010212563,1.605056671037612,-0.11967841068414509,9,9.0
test,1/N rebal. alle 21T,1404483.1818275452,0.13456820915235546,0.08603132147459674,1.2828972214332177,1.630558663561664,-0.11974265572887166,291,291.0
test,100% EUNL.DE B&H,1546470.3445968628,0.17591224837549757,0.1356095520478759,1.1189985803477345,1.355213711177378,-0.21725769052753263,1,1.0
test,PPO seed 42,1534529.9095916748,0.17252897681650636,0.1462109424627914,1.028310865845215,1.2650825510338208,-0.23319145884989978,4,4.0
test,PPO seed 43,1303913.8187494278,0.1036614413606225,0.13227877560872575,0.6631904858387525,0.8352201293089239,-0.14989325337440484,34,34.0
test,PPO seed 44,1570032.571258545,0.1825393712157679,0.14672151893331847,1.083306555665469,1.339770748582774,-0.2331249859630533,2,2.0
test,PPO seed 45,1512448.4029855728,0.1662292449437759,0.12700341551631814,1.1206239765496506,1.3782967933448085,-0.20198956515729005,7,7.0
test,PPO seed 46,1569867.5827388763,0.18249318143958115,0.14676352165487003,1.082771877538656,1.3391160438586274,-0.2331849214259536,4,4.0
test,PPO seed 47,1268684.2217197418,0.09248275326392208,0.09376515643493287,0.7806064084343278,0.9420402610923965,-0.11132938920838364,29,29.0
test,PPO seed 48,1403539.741827011,0.13428108590933974,0.11065809558517574,1.0170083914631458,1.270430314434016,-0.17675022280264818,28,28.0
test,PPO seed 49,1610608.0058460236,0.1938074418633169,0.12253786008801681,1.3479816089465841,1.731176002451135,-0.12033940319062908,57,57.0
valid,PPO seed 42,1185223.4555969238,0.1828563332041715,0.10832775643120283,1.4279466274639012,2.1991025371727653,-0.07065075214665595,11,11.0
valid,PPO seed 43,1068428.2165231705,0.06759656647378542,0.04822028114912201,0.9753122523911089,1.5791004981033159,-0.04027661914399694,32,32.0
valid,PPO seed 44,1196855.5411376953,0.19432795232487576,0.11699108103673778,1.4133894573569892,2.203136874552656,-0.07080210059606895,1,1.0
valid,PPO seed 45,1171590.1802959442,0.1694094440093108,0.0978973034949446,1.4518283462525396,2.2599561146187694,-0.06526172536503394,9,9.0
valid,PPO seed 46,1202280.166050911,0.1996772944555152,0.11524238386672342,1.4720444861634336,2.315274151629039,-0.07080543990665777,11,11.0
valid,PPO seed 47,1041864.5704345703,0.04136199860170264,0.055940601968603974,0.4012494689361803,0.6939841008496266,-0.04180024758750145,31,31.0
valid,PPO seed 48,1119083.7276258469,0.11760343236039428,0.07741727961799488,1.224904810668505,1.851817186196367,-0.05637604824788156,23,23.0
valid,PPO seed 49,1047375.7796163559,0.046805573735084316,0.0639474592596783,0.4403883846276158,0.6384671786728585,-0.05718566817287374,38,38.0
