Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,1229.4330015182495,0.0818094037712811,0.06042110064964889,1.333774819175185,1.688049468531116,-0.07398256617562593,5,5.0
test,1/N rebal. alle 21T,1199.7760028839111,0.07203554195963191,0.051630647238122045,1.3752180157563612,1.7994234427649574,-0.06785318813787033,32,32.0
test,100% EUNL.DE B&H,1538.1479187011719,0.17399222127604297,0.13420835852458124,1.2646224987970267,1.5318083552206314,-0.21521360276835977,1,1.0
test,PPO seed 42,1169.7074871063232,0.059993143382272685,0.07211507932570506,0.8451414369293255,1.136228066825124,-0.06026290467471451,7,7.0
test,PPO seed 43,1278.008999824524,0.09546038115360478,0.09421752148862642,1.0164070967962973,1.2560655416633126,-0.09810451544011578,10,10.0
test,PPO seed 44,1396.207465171814,0.13207501293367852,0.11284376016461865,1.1576443842258064,1.4758672991908166,-0.15754499074802653,4,4.0
test,PPO seed 45,1367.270975112915,0.12329707514097499,0.0992443808821027,1.2230145773887546,1.3416425263727794,-0.11774539312754873,22,22.0
test,PPO seed 46,1297.9230222702026,0.10177401347377257,0.07734398078327673,1.2938982553685274,1.7127880076526745,-0.08696696580598862,7,7.0
test,PPO seed 47,1251.4970035552979,0.08695822017508381,0.0558743950230476,1.5226974514173799,2.0820188644377304,-0.05833987953016939,6,6.0
test,PPO seed 48,1589.741533279419,0.1880352487739847,0.168183504188226,1.110504679025758,1.4885426980996699,-0.19234969999555307,13,13.0
test,PPO seed 49,1426.2450380325317,0.14106687670874396,0.11887420817236505,1.1715570839807126,1.5437896555092203,-0.1306457301549001,15,15.0
valid,PPO seed 42,1112.6550464630127,0.11125857157870156,0.06104003224909468,1.7657952544187776,2.7982112585171346,-0.036683243713085956,7,7.0
valid,PPO seed 43,1060.4055261611938,0.05967408118124751,0.06236137966877351,0.9642458203831118,1.6978273193376736,-0.039341225314782124,11,11.0
valid,PPO seed 44,1167.8475513458252,0.16571766091746531,0.09846624941300688,1.6128704438835424,2.505067514148667,-0.063158105088294,3,3.0
valid,PPO seed 45,1022.8000106811523,0.022528776325145827,0.017404454073065914,1.2938215082333244,2.493597753983091,-0.011255847579132783,2,2.0
valid,PPO seed 46,971.862024307251,-0.02781158752533719,0.06480180138875725,-0.4046735083084175,-0.6653598323949254,-0.06096383324474097,6,6.0
valid,PPO seed 47,1072.0545139312744,0.07117734069657744,0.0628605256898402,1.1295924082539133,1.6920997723422393,-0.04041008476089181,8,8.0
valid,PPO seed 48,982.444990158081,-0.017350282502257564,0.1182510760287254,-0.08968121272474235,-0.1472037902963119,-0.12088327337698856,14,14.0
valid,PPO seed 49,962.1710147857665,-0.03739236532981893,0.07724524836977029,-0.4567861839135609,-0.7404016448308633,-0.07190743828953106,16,16.0
