Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,1417857.519794464,0.13857192006927788,0.09105593884795016,1.473242548884719,1.8830386046376575,-0.11967841068414509,9,9.0
test,1/N rebal. alle 21T,1404483.1818275452,0.13456820915235546,0.08603132147459674,1.5130855416949176,1.9231273538532423,-0.11974265572887166,291,291.0
test,100% EUNL.DE B&H,1546470.3445968628,0.17591224837549757,0.1356095520478759,1.2650311059410664,1.5320729891403981,-0.21725769052753263,1,1.0
test,PPO seed 42,1536406.2694320679,0.1730616593430836,0.1462150845274291,1.1668391520133279,1.4359058160929992,-0.2331746215719377,5,5.0
test,PPO seed 43,1327365.616886139,0.11099807615254731,0.13060798674459498,0.8723673613884365,1.1225614328998685,-0.13503583667858166,38,38.0
test,PPO seed 44,1570032.571258545,0.1825393712157679,0.14672151893331847,1.2182792953433608,1.5066972086238406,-0.2331249859630533,2,2.0
test,PPO seed 45,1532323.5551214218,0.17190208782999927,0.13115067984251821,1.2773631885546985,1.5630906470785335,-0.20798180827046164,8,8.0
test,PPO seed 46,1569867.5827388763,0.18249318143958115,0.14676352165487003,1.2177059889365924,1.505995547459637,-0.2331849214259536,4,4.0
test,PPO seed 47,1307967.1312379837,0.10493536764029643,0.105807521270013,0.9976461259920996,1.183505531926905,-0.12984334468895298,32,32.0
test,PPO seed 48,1409903.0124454498,0.13618975097032626,0.11156418501627374,1.2022756527982352,1.486035149100173,-0.18053943683128437,28,28.0
test,PPO seed 49,1615891.3485870361,0.19526148423948575,0.12334674132137459,1.5103822716132194,1.9519543956304786,-0.11848713758316565,45,45.0
valid,PPO seed 42,1185517.98122406,0.18314681209453365,0.1082872914240931,1.6135963669550657,2.4894419310008242,-0.07056608492805927,6,6.0
valid,PPO seed 43,1094087.850646019,0.09293103350879695,0.055647246767096634,1.6311560778475493,2.70624489067832,-0.04963885825292347,38,38.0
valid,PPO seed 44,1196855.5411376953,0.19432795232487576,0.11699108103673778,1.5826622361418352,2.466992741637063,-0.07080210059606895,1,1.0
valid,PPO seed 45,1170553.9367313385,0.16838729234320193,0.10041148835813177,1.6064317776746204,2.474894883014321,-0.06766098184428815,12,12.0
valid,PPO seed 46,1196855.5411376953,0.19432795232487576,0.11699108103673778,1.5826622361418352,2.466992741637063,-0.07080210059606895,1,1.0
valid,PPO seed 47,1030222.4625730515,0.02986164778798539,0.059852227196918184,0.5233677317893279,0.8981052866667077,-0.047546707043602976,40,40.0
valid,PPO seed 48,1116597.2291240692,0.11514940506576155,0.07900390844581928,1.4245891005911078,2.156217153078657,-0.057458893483980145,23,23.0
valid,PPO seed 49,1058347.8708925247,0.05764201304042471,0.0647968904948154,0.9006760035308704,1.2895525849097578,-0.05646011403271867,28,28.0
