Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,13994.58199596405,0.1334332179643265,0.08804129709538927,1.2441999778012285,1.5915884081848906,-0.11370845879596969,9,9.0
test,1/N taeglich rebalanciert,12843.467171669006,0.0978437312982221,0.08364781601134595,0.9229272280244135,1.1594632309556343,-0.12272563077367837,942,942.0
test,100% EUNL.DE B&H,15435.408180236816,0.17512705181787735,0.13503672619678975,1.1182120288182418,1.3543442428628354,-0.21642257840950951,1,1.0
test,PPO seed 42,14847.264751434324,0.15823796599925433,0.09451950318911848,1.3946733574836063,1.8256512576713677,-0.12981727877898874,12,12.0
test,PPO seed 43,15693.699462890623,0.18235384589841108,0.14669088623224036,1.082430029375251,1.3387255398790439,-0.2330876364844695,1,1.0
test,PPO seed 44,14006.801156997679,0.13342156928451288,0.10132774429155712,1.0933181169346486,1.481447210582662,-0.09121657580414044,15,15.0
test,PPO seed 45,15693.699462890623,0.18235384589841108,0.14669088623224036,1.082430029375251,1.3387255398790439,-0.2330876364844695,1,1.0
test,PPO seed 46,15464.586503982544,0.1759085062799126,0.14411108712295098,1.0612008945405262,1.305624626701812,-0.23069063296072312,28,28.0
test,PPO seed 47,15922.098485946655,0.18872052012695217,0.11579838373468508,1.3825544450336222,1.8166943554754522,-0.12955581656377624,8,8.0
test,PPO seed 48,16556.669723510742,0.20611352984980336,0.1794321387293472,1.025762329193181,1.383860252058406,-0.19624047549132784,17,17.0
test,PPO seed 49,13286.787174224854,0.11140644880303507,0.08931432485365094,1.0075582404416272,1.3258678789787348,-0.10982850239167785,5,5.0
valid,PPO seed 42,11487.73046875,0.14690012291490695,0.07434499886625705,1.6219833548761184,2.618394343508238,-0.04167058688619385,3,3.0
valid,PPO seed 43,11608.600379943848,0.15882470424417816,0.0950762797293528,1.395973714563134,2.2343816406516366,-0.06180609041669349,7,7.0
valid,PPO seed 44,10419.282768249512,0.04142492511352258,0.0663417777997584,0.34882685685362796,0.5561538930543276,-0.06436573972527682,11,11.0
valid,PPO seed 45,11944.41960144043,0.19194777532202711,0.1162795424202475,1.4040939005681243,2.190236287073934,-0.07094726274245278,11,11.0
valid,PPO seed 46,11997.140422821045,0.19714681874528073,0.11605155531748468,1.4442953424204876,2.2621025063655216,-0.07149643879879275,8,8.0
valid,PPO seed 47,11462.970288276672,0.14445719282765235,0.08355451259105937,1.426277755873101,2.1359625512106675,-0.05321496578619389,26,26.0
valid,PPO seed 48,10084.095779418945,0.008310231780187527,0.12585152199795338,-0.028645599399224883,-0.048206129770481936,-0.1220213968362599,10,10.0
valid,PPO seed 49,11126.491123199463,0.11125271460912178,0.08096853867855189,1.1039955993357236,1.563052154560197,-0.060380795194636905,5,5.0
