Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,16143.637535095215,0.19430448474687645,0.1428317775162576,1.3169459351555652,1.6726889837000953,-0.2005995865936986,2,2.0
test,1/N rebal. alle 21T,16134.679513931274,0.19405884805839468,0.14211270459090478,1.3214374172099632,1.6804726476338,-0.20085854682570226,48,48.0
test,100% EUNL.DE B&H,15435.408180236816,0.1745694264525448,0.13485043601896637,1.2628924586707522,1.5296781854403114,-0.21642257840950951,1,1.0
test,PPO seed 42,17204.42808151245,0.2227157339615291,0.1731394053167123,1.2501605643274034,1.6530986306630213,-0.19147723410295125,24,24.0
test,PPO seed 43,16036.984352111816,0.19128606431842599,0.13748479947334316,1.3442835845347787,1.6667117964288671,-0.207261285225953,16,16.0
test,PPO seed 44,15446.002197265625,0.17482457475444457,0.13471853525989871,1.2656122356988724,1.5326549685318576,-0.21624925123641192,2,2.0
test,PPO seed 45,16902.25799179077,0.2147128727684906,0.17325200610743893,1.2114747310269784,1.6041003393483189,-0.19164516210414717,30,30.0
test,PPO seed 46,16446.068996429443,0.20245844083046882,0.1727963003966175,1.1554031003257754,1.5298097314190313,-0.19138377718747346,270,270.0
test,PPO seed 47,15008.040826797485,0.1623678811323761,0.13290347309631106,1.200688056801574,1.4483577882203933,-0.21522487888536723,193,193.0
test,PPO seed 48,15822.08406829834,0.18534501716561036,0.1693133938178994,1.0908063466564046,1.4479286468444308,-0.18777677488835198,681,681.0
test,PPO seed 49,15190.830728530884,0.16759432830535315,0.1347094490601287,1.2197637719344547,1.4820264968675734,-0.2162470179810777,18,18.0
valid,PPO seed 42,10271.502010345459,0.026826540547710387,0.12157938146933431,0.27917151143114854,0.47316615202239903,-0.09499402687296565,23,23.0
valid,PPO seed 43,11488.36512374878,0.14696273948663285,0.10284596570602494,1.390072367295128,2.1642198055516593,-0.06909095938777854,12,12.0
valid,PPO seed 44,11808.586303710938,0.17855138034084095,0.10780986890133927,1.5840407846815063,2.4199255484059954,-0.07155942012610039,2,2.0
valid,PPO seed 45,10074.95701789856,0.007407191270553337,0.11395750260179864,0.1217877582115376,0.20390399551541308,-0.10131793767632602,254,254.0
valid,PPO seed 46,10295.626422882078,0.02920981600862138,0.11829640571176876,0.30327717983041835,0.5203916820943701,-0.09679511965216592,254,254.0
valid,PPO seed 47,11118.538133621216,0.11046775518254925,0.09316695450122298,1.1757513368485202,1.730266627689647,-0.06597133220116835,398,398.0
valid,PPO seed 48,10174.28497123718,0.01722170051136418,0.11903321475067132,0.20331443796556112,0.34411180344439124,-0.10148031313780514,254,254.0
valid,PPO seed 49,11982.062419891357,0.19565993480947297,0.10631565916378455,1.7409932013431952,2.6294044410988247,-0.07150810032108867,20,20.0
