Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,1417857.519794464,0.13857192006927788,0.09105593884795016,1.2557564010212563,1.605056671037612,-0.11967841068414509,9,9.0
test,1/N taeglich rebalanciert,1401899.1440572739,0.13379189952039372,0.08656830287097421,1.2675540967034495,1.6057441332675932,-0.12068258520279285,5596,5596.0
test,100% EUNL.DE B&H,1546470.3445968628,0.17591224837549757,0.1356095520478759,1.1189985803477345,1.355213711177378,-0.21725769052753263,1,1.0
test,PPO seed 42,1363242.6104240417,0.122065836882018,0.07218229476049175,1.3600009561796058,1.8276454200112755,-0.09273963760103177,6,6.0
test,PPO seed 43,1574397.3818292618,0.1837602267973535,0.14604705521079642,1.0947135918274105,1.3538787240666603,-0.23223280230475474,14,14.0
test,PPO seed 44,1570032.2862586975,0.18253929143054815,0.1467228922112936,1.083297338384572,1.3397569378254168,-0.23312768261279904,3,3.0
test,PPO seed 45,1569848.35928154,0.18248779948981975,0.1467458568372462,1.082853612059772,1.3390798396662698,-0.23318714334560042,4,4.0
test,PPO seed 46,1570993.2235679626,0.18280825249316823,0.1467556474943424,1.0846413686559886,1.3410984041034917,-0.23319361800504912,3,3.0
test,PPO seed 47,1516736.1376066208,0.16745701130878632,0.1259778259385727,1.137103911866941,1.399188953199875,-0.19008936504823126,7,7.0
test,PPO seed 48,1597273.9881000519,0.19012437606461896,0.14370237257862303,1.147591294369442,1.4388572786091238,-0.22136114613488533,27,27.0
test,PPO seed 49,1558242.8289203641,0.17923103507095628,0.13410989718655492,1.1510417715126293,1.3952127920563036,-0.21504518955331975,61,61.0
valid,PPO seed 42,1111910.687221527,0.1105238898549159,0.05298082122469648,1.6394473462105714,2.8141240262929923,-0.03239606206802359,6,6.0
valid,PPO seed 43,1210055.1237382889,0.20734385670193434,0.11556803483757956,1.5235889153084947,2.3787252906451104,-0.0707970179439037,22,22.0
valid,PPO seed 44,1196855.5411376953,0.19432795232487576,0.11699108103673778,1.4133894573569892,2.203136874552656,-0.07080210059606895,1,1.0
valid,PPO seed 45,1196855.5411376953,0.19432795232487576,0.11699108103673778,1.4133894573569892,2.203136874552656,-0.07080210059606895,1,1.0
valid,PPO seed 46,1206200.5748291016,0.20354311908561962,0.11619480950807452,1.4887292667171454,2.3440804464996168,-0.07081081374543252,3,3.0
valid,PPO seed 47,1170428.5812864304,0.16826364088807488,0.10495638635518845,1.3516393720210018,2.029059118273738,-0.07101299664349647,5,5.0
valid,PPO seed 48,1168111.5566062927,0.16597808406592907,0.10829302420479689,1.2950622567355012,2.0655812658710895,-0.0692144440642053,12,12.0
valid,PPO seed 49,1165406.8551959991,0.16331004813235772,0.09954490894966404,1.3766656484192725,2.187553131988068,-0.06904876885227251,75,75.0
