Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,1229.4330015182495,0.0818094037712811,0.06042110064964889,1.333774819175185,1.688049468531116,-0.07398256617562593,5,5.0
test,1/N rebal. alle 21T,1199.7760028839111,0.07203554195963191,0.051630647238122045,1.3752180157563612,1.7994234427649574,-0.06785318813787033,32,32.0
test,100% EUNL.DE B&H,1538.1479187011719,0.17399222127604297,0.13420835852458124,1.2646224987970267,1.5318083552206314,-0.21521360276835977,1,1.0
test,PPO seed 42,1437.9049949645996,0.1445252576553191,0.1195272540630422,1.191204093662305,1.4449237468150657,-0.1853361655185496,8,8.0
test,PPO seed 43,1268.971468925476,0.09257468317115625,0.1393900646377784,0.7053767127883854,0.864693433366657,-0.1396123112767348,27,27.0
test,PPO seed 44,1535.839988708496,0.1729009401698649,0.12811323167339506,1.311225704051422,1.6233799019743245,-0.19380531078759233,3,3.0
test,PPO seed 45,1519.859951019287,0.16835012349793077,0.14085010809517698,1.177188795753329,1.437969373583328,-0.22778974331424884,3,3.0
test,PPO seed 46,1044.4545106887817,0.016297570054670807,0.032468070909161,0.5148794737539376,0.7349503411159883,-0.02676132819409416,5,5.0
test,PPO seed 47,1365.1569633483887,0.12265122856744348,0.15548746149435122,0.8230292054430226,0.9881548539540262,-0.15851587410595858,29,29.0
test,PPO seed 48,1339.4209899902344,0.1147377989616507,0.0967302006549063,1.1732115130169147,1.4437027969579224,-0.16038038283820566,9,9.0
test,PPO seed 49,1584.3050365447998,0.186523568376729,0.12761707063769637,1.4064294560606914,1.8056915228412516,-0.13407840022964734,11,11.0
valid,PPO seed 42,1103.0500221252441,0.10177797800555766,0.08058927577231688,1.2478164113878463,1.7691926300899343,-0.06978348432871206,9,9.0
valid,PPO seed 43,1030.428973197937,0.030065657160255777,0.05239023943089543,0.5937459350983385,0.9774981510267348,-0.053076707831568704,19,19.0
valid,PPO seed 44,1148.0000457763672,0.14613745837763714,0.10453590420968566,1.3623306078955433,2.149034603324922,-0.06745986363285383,3,3.0
valid,PPO seed 45,1154.070053100586,0.1521261354141621,0.09921507767548367,1.4827004586411547,2.272117840660845,-0.06510783044165502,4,4.0
valid,PPO seed 46,997.0124979019165,-0.0029524069502645522,0.05637016378428466,-0.024620493195034593,-0.04762168118460313,-0.0488647339088365,13,13.0
valid,PPO seed 47,988.9685106277466,-0.010902417214882054,0.05592572476718257,-0.16893417313045356,-0.25592762383105433,-0.05017363675684683,32,32.0
valid,PPO seed 48,1138.5900287628174,0.1368527863334832,0.08581965979199814,1.5435757540240393,2.281295912731069,-0.06189870441539913,6,6.0
valid,PPO seed 49,1022.0285024642944,0.02176654348035667,0.07673661654066728,0.31997017530485417,0.4378173441772182,-0.07767305104084232,11,11.0
