Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,16143.637535095215,0.19430448474687645,0.1428317775162576,1.3169459351555652,1.6726889837000953,-0.2005995865936986,2,2.0
test,1/N rebal. alle 21T,16134.679513931274,0.19405884805839468,0.14211270459090478,1.3214374172099632,1.6804726476338,-0.20085854682570226,48,48.0
test,100% EUNL.DE B&H,15435.408180236816,0.1745694264525448,0.13485043601896637,1.2628924586707522,1.5296781854403114,-0.21642257840950951,1,1.0
test,PPO seed 42,15939.893920898438,0.1886081862068001,0.16529876039250277,1.1298885947999386,1.4327447184373254,-0.1914929336068918,9,9.0
test,PPO seed 43,14610.179634094238,0.15085182781284456,0.12341391165331633,1.2022646310603073,1.4602604226262472,-0.19469388902710005,11,11.0
test,PPO seed 44,17148.860654830933,0.2212507287744787,0.16495026238345256,1.2965755730784396,1.619953283310979,-0.19167358095617204,24,24.0
valid,PPO seed 42,10343.945196151733,0.033983079769526636,0.08358418710669911,0.4430315979308558,0.6581818105044565,-0.07933721478265476,10,10.0
valid,PPO seed 43,11546.971263885498,0.1527447855753492,0.092577727365259,1.5880107971764597,2.368950155332908,-0.07180575131436417,5,5.0
valid,PPO seed 44,11361.107904434204,0.13440642244537204,0.08741584780172075,1.4922123200825457,2.235864128409637,-0.06959978932228683,21,21.0
